agent,seed_index,step,reward,tb_run
vanilla,0,215040,-14.981246948242188,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,217088,-22.57491683959961,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,219136,-29.92314338684082,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,221184,-36.832340240478516,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,223232,-39.012603759765625,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,225280,-39.72759246826172,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,227328,-44.624664306640625,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,229376,-55.36580276489258,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,231424,-61.122764587402344,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,233472,-75.19419860839844,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,235520,-83.87696075439453,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,237568,-80.99761199951172,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,239616,-76.79647827148438,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,241664,-74.049072265625,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,243712,-76.21520233154297,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,245760,-82.7286605834961,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,247808,-82.87899017333984,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,249856,-84.16484832763672,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,251904,-83.56916809082031,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,253952,-82.51052856445312,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,256000,-80.44514465332031,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,258048,-79.54664611816406,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,260096,-78.8491439819336,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,262144,-76.61246490478516,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,264192,-74.01912689208984,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,266240,-68.77061462402344,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,268288,-63.27366256713867,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,270336,-57.19655227661133,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,272384,-48.42900848388672,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,274432,-43.676753997802734,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,276480,-37.366729736328125,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,278528,-39.055641174316406,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,280576,-39.511959075927734,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,282624,-39.53025817871094,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,284672,-39.597434997558594,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,286720,-41.41461181640625,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,288768,-43.384090423583984,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,290816,-46.53456115722656,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,292864,-47.91437911987305,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,294912,-50.30890655517578,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,296960,-49.681312561035156,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,299008,-43.854915618896484,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,301056,-40.18973159790039,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,303104,-37.66176223754883,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,305152,-34.91804885864258,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
vanilla,0,307200,-31.649995803833008,experiments/cw/results/cw_hace_cw10/vanilla/seed_0/tb_logs/PPO_0
hace,0,2048,-40.84797286987305,experiments/cw/results/cw_hace_cw10/hace/seed_0/tb_logs/PPO_0
hace,0,4096,-35.10836410522461,experiments/cw/results/cw_hace_cw10/hace/seed_0/tb_logs/PPO_0
hace,0,6144,-29.223848342895508,experiments/cw/results/cw_hace_cw10/hace/seed_0/tb_logs/PPO_0
hace,0,8192,-26.757970809936523,experiments/cw/results/cw_hace_cw10/hace/seed_0/tb_logs/PPO_0
hace,0,10240,-25.07597541809082,experiments/cw/results/cw_hace_cw10/hace/seed_0/tb_logs/PPO_0
