agent,seed,step,value
vanilla,0,212800,230129.640625
vanilla,0,213600,230087.625
vanilla,0,214400,230156.359375
vanilla,0,215200,230292.78125
vanilla,0,216000,230437.609375
vanilla,0,216800,230588.765625
vanilla,0,217600,230746.21875
vanilla,0,218400,230908.140625
vanilla,0,219200,231082.390625
vanilla,0,220000,231225.625
vanilla,0,220800,231310.6875
vanilla,0,221600,231410.75
vanilla,0,222400,231503.890625
vanilla,0,223200,231576.53125
vanilla,0,224000,231720.53125
vanilla,0,224800,231756.1875
vanilla,0,225600,231794.3125
vanilla,0,226400,231867.359375
vanilla,0,227200,231954.28125
vanilla,0,228000,232059.859375
vanilla,0,228800,232225.296875
vanilla,0,229600,232311.234375
vanilla,0,230400,232471.796875
vanilla,0,231200,232567.9375
vanilla,0,232000,232622.5
vanilla,0,232800,232642.265625
vanilla,0,233600,232734.09375
vanilla,0,234400,232751.453125
vanilla,0,235200,232705.265625
vanilla,0,236000,232728.640625
vanilla,0,236800,232712.859375
vanilla,0,237600,232740.3125
vanilla,0,238400,232748.625
vanilla,0,239200,232686.0625
vanilla,0,240000,232650.15625
vanilla,0,240800,232626.9375
vanilla,0,241600,232575.390625
vanilla,0,242400,232516.328125
vanilla,0,243200,232485.5
vanilla,0,244000,232375.828125
vanilla,0,244800,232334.90625
vanilla,0,245600,232354.5
vanilla,0,246400,232353.6875
vanilla,0,247200,232364.34375
vanilla,0,248000,232290.5625
vanilla,0,248800,232239.078125
vanilla,0,249600,232147.59375
vanilla,0,250400,232067.125
vanilla,0,251200,231973.921875
vanilla,0,252000,231992.765625
vanilla,0,252800,231971.921875
vanilla,0,253600,231989.359375
vanilla,0,254400,231987.734375
vanilla,0,255200,231998.25
vanilla,0,256000,231945.78125
vanilla,0,256800,231938.78125
vanilla,0,257600,231918.171875
vanilla,0,258400,231901.265625
vanilla,0,259200,231931.140625
vanilla,0,260000,232008.328125
vanilla,0,260800,232032.03125
vanilla,0,261600,232107.375
vanilla,0,262400,232227.96875
vanilla,0,263200,232302.828125
vanilla,0,264000,232398.359375
vanilla,0,264800,232472.609375
vanilla,0,265600,232555.9375
vanilla,0,266400,232598.8125
vanilla,0,267200,232659.265625
vanilla,0,268000,232806.359375
vanilla,0,268800,232901.828125
vanilla,0,269600,233024.328125
vanilla,0,270400,233098.296875
vanilla,0,271200,233197.640625
vanilla,0,272000,233173.234375
vanilla,0,272800,233218.125
vanilla,0,273600,233249.078125
vanilla,0,274400,233356.375
vanilla,0,275200,233455.953125
vanilla,0,276000,233567.90625
vanilla,0,276800,233634.78125
vanilla,0,277600,233663.375
vanilla,0,278400,233698.96875
vanilla,0,279200,233724.453125
vanilla,0,280000,233700.9375
vanilla,0,280800,233667.015625
vanilla,0,281600,233540.84375
vanilla,0,282400,233326.28125
vanilla,0,283200,233006.1875
vanilla,0,284000,232666.375
vanilla,0,284800,232277.1875
vanilla,0,285600,232096.34375
vanilla,0,286400,231845.765625
vanilla,0,287200,231736.109375
vanilla,0,288000,231448.984375
vanilla,0,288800,231204.359375
vanilla,0,289600,230991.78125
vanilla,0,290400,230861.484375
vanilla,0,291200,230555.5
vanilla,0,292000,230389.859375
vanilla,0,292800,230262.859375
vanilla,0,293600,230336.640625
vanilla,0,294400,230199.125
vanilla,0,295200,230077.46875
vanilla,0,296000,229917.265625
vanilla,0,296800,229744.265625
vanilla,0,297600,229584.5
vanilla,0,298400,229417.109375
vanilla,0,299200,229200.546875
vanilla,0,300000,229026.828125
vanilla,0,300800,228944.0
vanilla,0,301600,229013.53125
vanilla,0,302400,229065.78125
